V	Current	
-5	-0.00121
-4.99	-0.0012
-4.98	-0.00119
-4.97	-0.00118
-4.96	-0.00117
-4.95	-0.00116
-4.94	-0.00115
-4.93	-0.00114
-4.92	-0.00112
-4.91	-0.00111
-4.9	-0.0011
-4.89	-0.00109
-4.88	-0.00108
-4.87	-0.00107
-4.86	-0.00106
-4.85	-0.00105
-4.84	-0.00105
-4.83	-0.00104
-4.82	-0.00103
-4.81	-0.00102
-4.8	-0.00101
-4.79	-9.98003E-4
-4.78	-9.88788E-4
-4.77	-9.79649E-4
-4.76	-9.70586E-4
-4.75	-9.61598E-4
-4.74	-9.52685E-4
-4.73	-9.43846E-4
-4.72	-9.35081E-4
-4.71	-9.2639E-4
-4.7	-9.17771E-4
-4.69	-9.09225E-4
-4.68	-9.00751E-4
-4.67	-8.92349E-4
-4.66	-8.84017E-4
-4.65	-8.75757E-4
-4.64	-8.67566E-4
-4.63	-8.59446E-4
-4.62	-8.51394E-4
-4.61	-8.43412E-4
-4.6	-8.35497E-4
-4.59	-8.27651E-4
-4.58	-8.19872E-4
-4.57	-8.1216E-4
-4.56	-8.04515E-4
-4.55	-7.96936E-4
-4.54	-7.89422E-4
-4.53	-7.81974E-4
-4.52	-7.74591E-4
-4.51	-7.67272E-4
-4.5	-7.60016E-4
-4.49	-7.52825E-4
-4.48	-7.45696E-4
-4.47	-7.3863E-4
-4.46	-7.31626E-4
-4.45	-7.24683E-4
-4.44	-7.17802E-4
-4.43	-7.10982E-4
-4.42	-7.04222E-4
-4.41	-6.97522E-4
-4.4	-6.90882E-4
-4.39	-6.843E-4
-4.38	-6.77778E-4
-4.37	-6.71313E-4
-4.36	-6.64907E-4
-4.35	-6.58558E-4
-4.34	-6.52266E-4
-4.33	-6.4603E-4
-4.32	-6.39851E-4
-4.31	-6.33727E-4
-4.3	-6.27658E-4
-4.29	-6.21645E-4
-4.28	-6.15686E-4
-4.27	-6.09781E-4
-4.26	-6.0393E-4
-4.25	-5.98131E-4
-4.24	-5.92386E-4
-4.23	-5.86694E-4
-4.22	-5.81053E-4
-4.21	-5.75464E-4
-4.2	-5.69926E-4
-4.19	-5.64439E-4
-4.18	-5.59002E-4
-4.17	-5.53616E-4
-4.16	-5.48279E-4
-4.15	-5.42991E-4
-4.14	-5.37753E-4
-4.13	-5.32562E-4
-4.12	-5.2742E-4
-4.11	-5.22326E-4
-4.1	-5.17279E-4
-4.09	-5.12279E-4
-4.08	-5.07325E-4
-4.07	-5.02418E-4
-4.06	-4.97557E-4
-4.05	-4.92741E-4
-4.04	-4.8797E-4
-4.03	-4.83243E-4
-4.02	-4.78562E-4
-4.01	-4.73924E-4
-4	-4.69329E-4
-3.99	-4.64779E-4
-3.98	-4.6027E-4
-3.97	-4.55805E-4
-3.96	-4.51382E-4
-3.95	-4.47E-4
-3.94	-4.4266E-4
-3.93	-4.38361E-4
-3.92	-4.34103E-4
-3.91	-4.29885E-4
-3.9	-4.25708E-4
-3.89	-4.2157E-4
-3.88	-4.17471E-4
-3.87	-4.13412E-4
-3.86	-4.09391E-4
-3.85	-4.05409E-4
-3.84	-4.01465E-4
-3.83	-3.97559E-4
-3.82	-3.9369E-4
-3.81	-3.89858E-4
-3.8	-3.86063E-4
-3.79	-3.82304E-4
-3.78	-3.78581E-4
-3.77	-3.74895E-4
-3.76	-3.71243E-4
-3.75	-3.67627E-4
-3.74	-3.64046E-4
-3.73	-3.60499E-4
-3.72	-3.56987E-4
-3.71	-3.53508E-4
-3.7	-3.50063E-4
-3.69	-3.46652E-4
-3.68	-3.43273E-4
-3.67	-3.39927E-4
-3.66	-3.36614E-4
-3.65	-3.33333E-4
-3.64	-3.30083E-4
-3.63	-3.26865E-4
-3.62	-3.23679E-4
-3.61	-3.20523E-4
-3.6	-3.17398E-4
-3.59	-3.14304E-4
-3.58	-3.11239E-4
-3.57	-3.08205E-4
-3.56	-3.052E-4
-3.55	-3.02224E-4
-3.54	-2.99278E-4
-3.53	-2.9636E-4
-3.52	-2.93471E-4
-3.51	-2.9061E-4
-3.5	-2.87777E-4
-3.49	-2.84971E-4
-3.48	-2.82193E-4
-3.47	-2.79443E-4
-3.46	-2.76719E-4
-3.45	-2.74022E-4
-3.44	-2.71351E-4
-3.43	-2.68706E-4
-3.42	-2.66088E-4
-3.41	-2.63495E-4
-3.4	-2.60927E-4
-3.39	-2.58385E-4
-3.38	-2.55868E-4
-3.37	-2.53375E-4
-3.36	-2.50907E-4
-3.35	-2.48463E-4
-3.34	-2.46043E-4
-3.33	-2.43647E-4
-3.32	-2.41274E-4
-3.31	-2.38925E-4
-3.3	-2.36599E-4
-3.29	-2.34296E-4
-3.28	-2.32015E-4
-3.27	-2.29757E-4
-3.26	-2.27521E-4
-3.25	-2.25307E-4
-3.24	-2.23114E-4
-3.23	-2.20944E-4
-3.22	-2.18794E-4
-3.21	-2.16666E-4
-3.2	-2.14559E-4
-3.19	-2.12472E-4
-3.18	-2.10406E-4
-3.17	-2.08361E-4
-3.16	-2.06335E-4
-3.15	-2.04329E-4
-3.14	-2.02344E-4
-3.13	-2.00377E-4
-3.12	-1.9843E-4
-3.11	-1.96502E-4
-3.1	-1.94593E-4
-3.09	-1.92703E-4
-3.08	-1.90832E-4
-3.07	-1.88978E-4
-3.06	-1.87143E-4
-3.05	-1.85326E-4
-3.04	-1.83527E-4
-3.03	-1.81746E-4
-3.02	-1.79982E-4
-3.01	-1.78235E-4
-3	-1.76506E-4
-2.99	-1.74793E-4
-2.98	-1.73097E-4
-2.97	-1.71418E-4
-2.96	-1.69756E-4
-2.95	-1.68109E-4
-2.94	-1.66479E-4
-2.93	-1.64865E-4
-2.92	-1.63266E-4
-2.91	-1.61684E-4
-2.9	-1.60116E-4
-2.89	-1.58564E-4
-2.88	-1.57028E-4
-2.87	-1.55506E-4
-2.86	-1.53999E-4
-2.85	-1.52507E-4
-2.84	-1.51029E-4
-2.83	-1.49566E-4
-2.82	-1.48117E-4
-2.81	-1.46682E-4
-2.8	-1.45261E-4
-2.79	-1.43854E-4
-2.78	-1.42461E-4
-2.77	-1.41081E-4
-2.76	-1.39715E-4
-2.75	-1.38362E-4
-2.74	-1.37022E-4
-2.73	-1.35695E-4
-2.72	-1.34381E-4
-2.71	-1.33079E-4
-2.7	-1.31791E-4
-2.69	-1.30514E-4
-2.68	-1.29251E-4
-2.67	-1.27999E-4
-2.66	-1.26759E-4
-2.65	-1.25532E-4
-2.64	-1.24316E-4
-2.63	-1.23112E-4
-2.62	-1.2192E-4
-2.61	-1.20739E-4
-2.6	-1.19569E-4
-2.59	-1.18411E-4
-2.58	-1.17264E-4
-2.57	-1.16127E-4
-2.56	-1.15002E-4
-2.55	-1.13888E-4
-2.54	-1.12784E-4
-2.53	-1.11691E-4
-2.52	-1.10608E-4
-2.51	-1.09535E-4
-2.5	-1.08473E-4
-2.49	-1.07421E-4
-2.48	-1.06379E-4
-2.47	-1.05347E-4
-2.46	-1.04325E-4
-2.45	-1.03312E-4
-2.44	-1.02309E-4
-2.43	-1.01316E-4
-2.42	-1.00332E-4
-2.41	-9.93572E-5
-2.4	-9.83917E-5
-2.39	-9.74353E-5
-2.38	-9.6488E-5
-2.37	-9.55496E-5
-2.36	-9.46201E-5
-2.35	-9.36993E-5
-2.34	-9.27871E-5
-2.33	-9.18835E-5
-2.32	-9.09885E-5
-2.31	-9.01017E-5
-2.3	-8.92233E-5
-2.29	-8.83532E-5
-2.28	-8.74911E-5
-2.27	-8.66371E-5
-2.26	-8.5791E-5
-2.25	-8.49528E-5
-2.24	-8.41224E-5
-2.23	-8.32997E-5
-2.22	-8.24847E-5
-2.21	-8.16772E-5
-2.2	-8.08772E-5
-2.19	-8.00845E-5
-2.18	-7.92992E-5
-2.17	-7.85211E-5
-2.16	-7.77502E-5
-2.15	-7.69863E-5
-2.14	-7.62295E-5
-2.13	-7.54796E-5
-2.12	-7.47366E-5
-2.11	-7.40003E-5
-2.1	-7.32708E-5
-2.09	-7.2548E-5
-2.08	-7.18317E-5
-2.07	-7.11219E-5
-2.06	-7.04186E-5
-2.05	-6.97216E-5
-2.04	-6.9031E-5
-2.03	-6.83466E-5
-2.02	-6.76684E-5
-2.01	-6.69963E-5
-2	-6.63302E-5
-1.99	-6.56701E-5
-1.98	-6.50159E-5
-1.97	-6.43676E-5
-1.96	-6.37251E-5
-1.95	-6.30883E-5
-1.94	-6.24572E-5
-1.93	-6.18317E-5
-1.92	-6.12118E-5
-1.91	-6.05974E-5
-1.9	-5.99884E-5
-1.89	-5.93847E-5
-1.88	-5.87864E-5
-1.87	-5.81934E-5
