I_THz	E_THz,pk
-259.71303	-35.78321
-248.56799	-29.05402
-238.94951	-24.68993
-229.95019	-21.28921
-217.17182	-18.01873
-202.92027	-15.72971
-190.89985	-12.67675
-177.32083	-10.81317
-163.57102	-9.01206
-153.38675	-7.56615
-141.18485	-6.12633
-127.97948	-5.05151
-114.41115	-4.04102
-100.41581	-3.06274
-88.70497	-2.20712
-76.17217	-1.46891
-64.63214	-0.84487
-53.52982	-0.66953
-43.54839	-0.32611
-34.44237	-0.13309
-25.91278	-0.07853
-18.70697	0.04542
-12.53662	0.16179
-7.35911	-0.04147
-3.70814	-0.04788
-1.40227	-0.09305
0.50324	-0.02895
2.50327	0.207
5.23054	-0.12811
9.82149	-0.04605
16.36697	0.00867
24.59428	0.09758
34.36705	0.02576
45.23074	0.01551
57.18533	-0.2136
69.63994	-0.06998
82.64002	-0.38116
96.14011	-0.75389
110.32199	-1.35915
126.18571	-1.72504
140.18581	-2.2619
154.18588	-3.04839
168.45871	-3.36299
183.91335	-4.10161
199.50438	-4.85732
214.23174	-5.23006
228.7773	-5.82847
243.23196	-6.51579
257.14116	-6.86801
269.73217	-7.09028
283.09591	-6.84065
296.00511	-7.36726
307.14156	-7.0766
320.05077	-6.01654
331.14179	-5.20612
342.4146	-3.83147
352.64198	-1.64297
362.36932	1.60217
373.50579	6.55366
383.77864	12.55835
394.77875	19.96163
